#=================================================================
# To inform search term selections on loc.gov home page
# Report suite: National Library (LOC Main)
"# Date: Nov 1, 2023 - Nov 30, 2023"
# Segments: Search: P1 Search
#=================================================================


##############################################
# Top Search Terms (U.S.) - Search Term (conversion) (50000 items out of 481831)
##############################################
,Search Term (conversion) Instances
jericho,72
constantinople 1890,72
zeppelin,72
soviet,72
pinkerton,72
coal,72
dreams,72
usa,72
refugees,72
"berlin wall, berlin, germany",72
bombing of hiroshima,72
drugs,72
ella fitzgerald,72
virgin islands,72
"""district of columbia""",72
autumn,72
race,72
gold,72
grover cleveland,72
window,72
savannah georgia,71
newsletter,71
syphilis,71
memphis,71
atatürk,71
hands,71
carl sagan,71
chocolate,71
battle of okinawa,71
angela davis,71
steamboats,71
statue,71
scans,71
sculpture,71
asian,71
quakers,71
frankenstein,71
manufacturing,71
bonus army,71
lowell mill girls,71
arabic manuscripts . psalter.,71
the revolutionary war,71
sheep,71
knights of labor,71
canastota ny,71
hopi,71
telepathy,71
1970,71
expedition,71
lange fsa,71
information,71
berlin airlift,71
ancient egypt,71
maya angelou,71
james k. polk,71
chinos,71
indian removal act of 1830,71
ebelt,71
gas station,71
varna,71
a veteran who saved lives,71
inflation,71
matthew brady,71
practices and customs,70
popular music,70
kids,70
chicago defender,70
john d rockefeller,70
shaker,70
wild west,70
nixon,70
joseph stalin,70
voting rights act,70
william mckinley,70
anna may wong,70
cia,70
the international exhibition of 1862,70
animals in human situations,70
perfume,70
nutcracker,70
1940,70
battle of fredericksburg,70
fall of the berlin wall,70
new spain,70
beirut,70
hawaii annexation,70
washington post,70
uncle toms cabin,70
venezia,70
hebrew arabic manuscripts,70
confederate monuments,70
post office,70
key west,70
knight’s ferry,70
monroe doctrine cartoon,70
san clemente california,70
elvis 1956,70
children's books,70
hand colored,70
suffragettes,70
ankara,70
iron,70
jazz age,70
sea,70
john f. kennedy,69
leviathan,69
sierra leone,69
vicksburg,69
election,69
ancient america,69
sewing,69
hedding camp,69
dawes act,69
picasso,69
motorcycles,69
zacatecas,69
battle of long island,69
xxx,69
"martin luther king, jr., national historic site",69
shipwreck,69
printing,69
city directory,69
injured veteran,69
vol 21,69
teacher,69
"bataan death march, philippines",69
police brutality,69
ivory,69
winston churchill,69
minneapolis,69
harriet beecher stowe,69
leonardo da vinci,69
christmas decorations,69
ceylon,69
life,69
grasseler,69
patrick henry,69
women in wwii,69
carol lombard mona maris,69
"collins, marjory",69
women's suffrage movement,69
university,69
shrek,69
mermaid,68
global warming,68
asia map,68
woman suffrage,68
darüşşafaka,68
jeannette rankin,68
george dill,68
donner party,68
cleveland ohio,68
pioneer,68
welfare,68
flatiron building,68
confederate soldier,68
measured drawing,68
harvard university,68
handbook,68
candles,68
cdatefacet:1970s,68
us capital,68
women in the civil war,68
concrete,68
yellowstone,68
concerts,68
patsy mink,68
bolivia,68
physicians,68
buster keaton,68
pulliam,68
the great gatsby,68
clouds,68
stock market crash (1929),68
communication,68
day of the dead,68
covid 19,68
giants,67
pensacola,67
navajo indians,67
alphabet,67
puyi,67
fugitive slave law,67
nathan bedford forrest,67
jane austen,67
superman,67
kit carson,67
worlds fair,67
monsters,67
bomb,67
mccarthyism,67
veteran who faced prejudice due to skin color,67
fidel castro,67
annie oakley,67
john cabot,67
record player,67
sanborn insurance map of logan,67
art nouveau poster,67
izmir (turkey),67
agent orange,67
anthropology,67
oscar wilde,67
rockford illinois,67
john lewis,67
indian boarding school,67
"""adhemar brady""",67
judah,67
roses,66
sanborn fire insurance map,66
neon,66
manuscripts,66
diving,66
exhibitions,66
anti-communism,66
zanzibar,66
friendship,66
libya,66
ida tarbell,66
terrorism,66
japanese american,66
scientific management in education,66
porto rico,66
restaurant,66
moors,66
barcelona,66
urbanization,66
vote,66
life magazine,66
mathew brady,66
roosevelt,66
australian,66
circassian,66
central asia,66
bank,66
hotel,66
transatlantic slave trade,66
the gilded age,66
twas the night before christmas,66
brasil,66
"spanish-american war, 1898",66
oral histories,66
patent,66
washington state,66
banana,66
jenson,66
divorce,66
evolution,65
gold hill nevada,65
gogerty,65
covid-19 pandemic,65
handbooks,65
healthcare,65
chicano,65
british,65
bucks county,65
shenandoah,65
crazy horse,65
map of europe,65
monitor,65
burleigh,65
country music,65
city directories,65
united kingdom,65
broadside,65
color transparency ; 120 mm.,65
"mexican-american war, 1846-48",65
latin america,65
influenza,65
nacogdoches,65
cartography,65
"""john crooks""",65
psychic power,65
mother jones,65
sesame street,65
j. robert oppenheimer,65
portland oregon,65
mystery,65
navy,65
mesopotamia,65
documentary,65
santa fe trail,64
lenin,64
davy crockett,64
air pollution,64
violence,64
japanese americans,64
"""pet cemetery""",64
klu klux klan,64
museum,64
"otis, james",64
the underground railroad,64
buddhism,64
slave ships,64
qing dynasty,64
catholic church,64
ecology,64
"""uss midway""",64
roaring twenties,64
traffic,64
dday,64
virginia beach,64
stamps,64
louis pasteur,64
black panthers,64
egyptian gazette,64
butcher,64
tenements,64
bracero program,64
1970s,64
photos of people of india,64
pyramids,64
poem,64
mushaway,64
world's fair,64
parishville ny,64
la llorona,64
independence,64
popeye,64
bilingual education act,64
williamsburg,64
armenian genocide,64
ancient rome,64
south dakota,64
mural,64
colonization,64
book festival,64
wounded knee,64
indigenous people,63
motion picture posters,63
sichuan,63
israeli-palestinian conflict,63
"""spivy""",63
britannica junior encyclopaedia for boys and girls.,63
"washington, d.c.",63
mussolini,63
finland,63
cytoplasm,63
cherokee indians,63
gulf war,63
interview,63
titanic (steamship),63
malcolm mcnab,63
lowe,63
street art,63
neillsville,63
thomas.loc.gov,63
bathing,63
sanborn fire insurance map from,63
moscow,63
gold miners,63
drama,63
american colonization society,63
women temperance movement,63
charles blandy,63
aesop's fables,63
tiananmen square incident,63
fashion models,63
uss maine,63
buffum,63
oklahoma city bombing,63
pikes peak,63
henrietta lacks,63
stock market crash 1929,63
"kislak, jay i.",63
thanksgiving day,63
niagara falls,63
socialism,63
map world,63
canadian,62
mcdonalds,62
maps of africa,62
rock,62
henrico,62
childrens books,62
natchitoches,62
us history,62
lccn,62
embroidery,62
motown,62
trade,62
sewing machines,62
mormons,62
philippine,62
disneyland,62
march on washington for jobs and freedom,62
greek,62
trump,62
worcester grade crossing,62
the california gold rush,62
toys,62
paraguay,62
lace,62
san francisco chinatown,62
revolution,62
tulsa race massacre,62
isadora duncan,62
plan,62
colonial america,62
emmeline pankhurst,62
newfoundland,62
marco polo,62
chicago fire,62
chicken,62
farmers,62
sailor,62
suburbs,62
croatia,61
us constitution,61
balfour declaration,61
african american women in wwii,61
yakima,61
band,61
seminole indians,61
cocktail,61
farms,61
carnival,61
what time is it?,61
holland,61
farmville,61
blueprints,61
united brewers industrial foundation,61
timeline,61
saloon,61
patents,61
animal,61
"hine ""new bedford""",61
nevele,61
social change and society,61
concentration camps,61
bill moyers,61
richard byrd 1947,61
"""savannah indians""",61
las vegas nm,61
mein kampf,61
bulgarian,61
chesapeake bay bridge,61
photos cuba,61
fredericksburg,61
children's literature,61
charlotte perkins gilman,61
reformation,61
algerie,61
world history cultures,61
dracula,61
elephants,61
franklin d. roosevelt,61
coal miner,61
claudette colvin,61
columbus ohio,61
john paul jones,61
manitou,61
alcatraz,61
actress,61
"chernobyl nuclear accident, ukraine",61
"brooklyn bridge (new york, n.y.)",61
battle of trenton,61
civilian conservation corps (u.s.),61
bauhaus,61
fertile minnesota,61
kenya,61
ukrainian wedding,61
comic,61
wallpaper,60
metadata,60
shop,60
whitney,60
high school students,60
william howard taft,60
punk,60
gilbertville massachusetts,60
to find the greatest enemy,60
uncle tom’s cabin,60
nyc,60
christmas party,60
tennessee valley authority,60
1850,60
exhibition,60
plays,60
vaccines,60
hungarian socity in the 9th and 10th centuries,60
time management,60
kitab,60
fox hunting,60
sanborn denver,60
autism,60
veteran injured in action,60
clock,60
"vachon, john, 1914-1975, photographer",60
romanov,60
vanity fair,60
lee harvey oswald,60
brown v. board of education of topeka,60
sunflower,60
disco,60
eli whitney,60
weather,60
blind,60
miners,60
potato chips,60
political parties,60
kindergarten,60
chaplin,60
vero beach,60
whiskey rebellion,60
united states constitution,59
homeless,59
indian territory,59
english or the art of composition,59
the election of 1828,59
german immigration,59
vhp,59
isbn,59
primary sources on cuba,59
the 19th amendment getting signed,59
the american dream,59
pentagon,59
chinese exclusion,59
alameda county,59
queen,59
storm,59
merchant,59
burlesque,59
deaf,59
italians,59
sc-187 sinks,59
strangl,59
"monroe, marilyn",59
new york subway,59
homework,59
west point,59
campbell,59
dancer,59
rachmaninoff,59
sanborn insurance maps,59
steam locomotive,59
prejudice,59
olympic,59
black history,59
tallapoosa ga,59
detroit publishing company photochroms united states,59
johnny cash,59
lowell massachusetts procession,59
sonoma county,59
black,59
franklin d roosevelt,59
us flag,59
banks,59
columbia university,59
lincoln memorial,59
diaries,58
child abuse,58
"photo yreka, california",58
laboratory,58
grand canyon arizona,58
van gogh,58
short stories,58
pipeline,58
volcano,58
satan,58
"smith college, basket ball",58
pullman strike,58
cherokee indians history,58
desegregation,58
biological statistics,58
bicknells,58
saint louis,58
thurber,58
flute,58
sanborn fire insurance maps,58
reading rooms,58
jews palestine,58
ruth bader ginsburg,58
whaling,58
bluegrass,58
yankee doodle,58
georgia usa,58
zionist,58
tobacco,58
ephemera,58
buddha,58
silverton colorado,58
vitriol,58
trumpet,58
youth,58
douglas macarthur,58
lucy whitfield,58
lexington and concord,58
national book festival,58
biltmore estate,58
apache,58
shepherd,58
benjamin henry latrobe,58
miller,58
new deal posters,58
drinking,58
kalamazoo,58
hamlet,58
equal pay act,58
bonnie and clyde,58
mirror,58
blood,58
roosevelt corollary,58
planets,58
herman melville,57
labor union,57
the gold rush,57
brooklyn (new york),57
women’s rights,57
sharecropping,57
armistice day,57
harry truman,57
italian immigration,57
"""chinatown""",57
working conditions,57
women's march,57
kodak,57
13th  amendment 1864,57
senate,57
second amendment,57
[women's suffrage],57
london bridge,57
circle,57
marc,57
social psychology,57
annual report of the american anti-slavery society 1858-59,57
bach,57
bass,57
antisemitism,57
stars and stripes,57
emiliano zapata,57
minimum wage,57
sword,57
geography,57
the alchemist,57
soup kitchens,57
insects,57
us,57
jerash,57
wheeling custom house,57
plessy v. ferguson,57
culper,57
sound,57
treasure,57
parrot,57
"""icelandic ponies""",57
turpentine,57
petersburg,57
shadow,57
child labor reform,57
west side story,57
the kansas city star.,57
antique machine,57
mind power,57
marines,57
nina simone,57
color transparency ; 8 x 10,57
john sherer,57
gospel,57
queen elizabeth,57
gilbertville mass,57
biology,57
"irish immigrants, 1840-1920",57
mass media,57
nazi germany,56
league of nations,56
logo,56
steam engines,56
sputnik 1,56
appalachia,56
jaws,56
calvin coolidge,56
addiction,56
sncc,56
nfl,56
kiev,56
drink,56
"jefferson, thomas",56
adam & eve,56
blackfeet,56
tel-aviv,56
lublin,56
embalming,56
"""912 fleming""",56
mazatlan,56
man,56
baltimore city,56
white christmas,56
norfolk,56
swim,56
otto hahn,56
rocks,56
greek mythology,56
new zealand,56
confucianism,56
universal city,56
bacon's rebellion,56
national mall,56
boat,56
chrysler building,56
harpers ferry,56
paper,56
black panther,56
monster,56
howard university,56
churchill,56
rockport,56
quilt,56
dances,56
mozart,56
black plague,56
kiss,56
ymca,56
mount rushmore,56
department of state,56
dufau,56
dead sea,56
colt,56
druze,56
poe,56
management,56
sadtler,56
"knight’s ferry , california",56
carol lombard racketeer,56
"roosevelt, franklin d.",56
"bonner, montana",56
"shakespeare, william",55
plantations,55
medieval,55
african american history,55
dancers,55
student,55
aristotle,55
